epoch,val_fold,lr,train_loss,train_acc,val_loss,val_acc,rolling_avg,best_rolling_avg
1,0,1.34e-04,3.2791,0.0478,3.1145,0.0860,0.0860,0.0000
2,1,2.57e-04,3.2361,0.0549,3.0760,0.0990,0.0925,0.0000
3,2,3.81e-04,3.1899,0.0644,3.0564,0.1123,0.0991,0.0000
4,3,5.05e-04,3.1599,0.0744,3.0274,0.1197,0.1043,0.0000
5,4,6.29e-04,3.1092,0.0915,2.8543,0.1693,0.1173,0.0000
6,0,7.52e-04,3.0493,0.1153,2.7762,0.2019,0.1404,0.1173
7,1,8.76e-04,2.9957,0.1314,2.7538,0.2052,0.1617,0.1404
8,2,1.00e-03,2.9431,0.1457,2.5696,0.2525,0.1897,0.1617
9,3,9.83e-04,2.8932,0.1594,2.5343,0.2493,0.2156,0.1897
10,4,9.33e-04,2.8239,0.1776,2.4709,0.2707,0.2359,0.2156
11,0,8.54e-04,2.8868,0.1188,2.3761,0.3014,0.2558,0.2359
12,1,7.50e-04,2.8557,0.1277,2.3270,0.3151,0.2778,0.2558
13,2,6.29e-04,2.8114,0.1318,2.2233,0.3451,0.2963,0.2778
14,3,5.00e-04,2.7761,0.1427,2.1368,0.3576,0.3180,0.2963
15,4,3.71e-04,2.7311,0.1525,2.0789,0.3801,0.3399,0.3180
16,0,2.50e-04,2.7007,0.1540,2.0061,0.4051,0.3606,0.3399
17,1,1.46e-04,2.6585,0.1602,1.9685,0.4114,0.3799,0.3606
18,2,6.70e-05,2.6337,0.1740,1.8846,0.4324,0.3973,0.3799
19,3,1.70e-05,2.6004,0.1745,1.8563,0.4459,0.4150,0.3973
20,4,1.00e-03,2.5919,0.1734,1.8478,0.4471,0.4284,0.4150
21,0,9.96e-04,2.6911,0.1555,2.1115,0.3749,0.4223,0.4284
22,1,9.83e-04,2.7116,0.1514,2.0595,0.3878,0.4176,0.4284
23,2,9.62e-04,2.6784,0.1547,2.0199,0.3997,0.4111,0.4284
24,3,9.33e-04,2.6468,0.1678,1.9471,0.4119,0.4043,0.4284
25,4,8.97e-04,2.6301,0.1731,1.8841,0.4444,0.4037,0.4284
26,0,8.54e-04,2.6068,0.1682,1.8829,0.4430,0.4174,0.4284
27,1,8.04e-04,2.5479,0.1886,1.8464,0.4426,0.4283,0.4284
28,2,7.50e-04,2.5435,0.1782,1.7512,0.4818,0.4447,0.4284
29,3,6.91e-04,2.5038,0.1843,1.7288,0.4770,0.4578,0.4447
30,4,6.29e-04,2.4813,0.1918,1.6987,0.4913,0.4671,0.4578
31,0,5.65e-04,2.4367,0.2083,1.6540,0.5107,0.4807,0.4671
32,1,5.00e-04,2.4305,0.2057,1.5950,0.5217,0.4965,0.4807
33,2,4.35e-04,2.4061,0.2178,1.5581,0.5354,0.5072,0.4965
34,3,3.71e-04,2.3863,0.2138,1.5074,0.5502,0.5219,0.5072
35,4,3.09e-04,2.3667,0.2126,1.4832,0.5634,0.5363,0.5219
36,0,2.50e-04,2.3103,0.2285,1.4653,0.5698,0.5481,0.5363
37,1,1.96e-04,2.2956,0.2298,1.4183,0.5754,0.5588,0.5481
38,2,1.46e-04,2.2990,0.2331,1.3997,0.5875,0.5693,0.5588
39,3,1.03e-04,2.2483,0.2381,1.3559,0.6019,0.5796,0.5693
40,4,6.70e-05,2.2565,0.2329,1.3314,0.6072,0.5884,0.5796
41,0,3.81e-05,2.2300,0.2403,1.3436,0.6100,0.5964,0.5884
42,1,1.70e-05,2.2298,0.2378,1.3202,0.6112,0.6036,0.5964
43,2,4.28e-06,2.2180,0.2284,1.2932,0.6176,0.6096,0.6036
44,3,1.00e-03,2.2207,0.2445,1.2840,0.6203,0.6133,0.6096
45,4,9.99e-04,2.3683,0.2202,1.5657,0.5360,0.5990,0.6133
46,0,9.96e-04,2.3941,0.2143,1.5561,0.5447,0.5860,0.6133
47,1,9.90e-04,2.3646,0.2146,1.5722,0.5232,0.5684,0.6133
48,2,9.83e-04,2.3559,0.2191,1.4640,0.5660,0.5580,0.6133
49,3,9.73e-04,2.3407,0.2227,1.4591,0.5652,0.5470,0.6133
50,4,9.62e-04,2.3289,0.2296,1.4847,0.5585,0.5515,0.6133
51,0,9.48e-04,2.3115,0.2274,1.4443,0.5793,0.5584,0.6133
52,1,9.33e-04,2.3039,0.2377,1.4317,0.5740,0.5686,0.6133
53,2,9.16e-04,2.2872,0.2318,1.3911,0.5930,0.5740,0.6133
54,3,8.97e-04,2.2533,0.2394,1.3489,0.5997,0.5809,0.6133
55,4,8.76e-04,2.2317,0.2503,1.3031,0.6172,0.5926,0.6133
56,0,8.54e-04,2.2181,0.2513,1.2801,0.6305,0.6029,0.6133
57,1,8.30e-04,2.2155,0.2531,1.2713,0.6198,0.6120,0.6133
58,2,8.04e-04,2.1921,0.2496,1.2421,0.6328,0.6200,0.6133
59,3,7.78e-04,2.1877,0.2510,1.2202,0.6399,0.6280,0.6200
60,4,7.50e-04,2.1676,0.2531,1.1976,0.6529,0.6352,0.6280
61,0,7.21e-04,2.1627,0.2599,1.1795,0.6544,0.6400,0.6352
62,1,6.91e-04,2.1242,0.2729,1.1693,0.6618,0.6484,0.6400
63,2,6.61e-04,2.0969,0.2700,1.1103,0.6735,0.6565,0.6484
64,3,6.29e-04,2.0962,0.2724,1.0901,0.6831,0.6651,0.6565
65,4,5.98e-04,2.0590,0.2829,1.0846,0.6947,0.6735,0.6651
66,0,5.65e-04,2.0310,0.2808,1.0610,0.6953,0.6817,0.6735
67,1,5.33e-04,2.0182,0.2797,1.0363,0.7118,0.6917,0.6817
68,2,5.00e-04,2.0462,0.2831,1.0079,0.7170,0.7004,0.6917
69,3,4.67e-04,2.0183,0.2938,0.9863,0.7200,0.7078,0.7004
70,4,4.35e-04,2.0040,0.2805,0.9658,0.7313,0.7151,0.7078
71,0,4.02e-04,1.9687,0.3099,0.9550,0.7353,0.7231,0.7151
72,1,3.71e-04,1.9584,0.3041,0.9099,0.7493,0.7306,0.7231
73,2,3.39e-04,1.9465,0.3073,0.8875,0.7558,0.7383,0.7306
74,3,3.09e-04,1.9132,0.2970,0.8647,0.7576,0.7458,0.7383
75,4,2.79e-04,1.9568,0.3031,0.8563,0.7700,0.7536,0.7458
76,0,2.50e-04,1.8999,0.3088,0.8606,0.7695,0.7604,0.7536
77,1,2.22e-04,1.9088,0.2994,0.8268,0.7809,0.7667,0.7604
78,2,1.96e-04,1.8726,0.3270,0.8146,0.7855,0.7727,0.7667
79,3,1.70e-04,1.8754,0.3304,0.8143,0.7838,0.7779,0.7727
80,4,1.46e-04,1.8568,0.3244,0.7882,0.7974,0.7834,0.7779
81,0,1.24e-04,1.8599,0.3105,0.7905,0.8006,0.7897,0.7834
82,1,1.03e-04,1.8827,0.3184,0.7592,0.8084,0.7952,0.7897
83,2,8.43e-05,1.8460,0.3008,0.7550,0.8044,0.7989,0.7952
84,3,6.70e-05,1.8671,0.3406,0.7706,0.8029,0.8028,0.7989
85,4,5.16e-05,1.8485,0.3186,0.7544,0.8083,0.8049,0.8028
86,0,3.81e-05,1.8422,0.3242,0.7477,0.8144,0.8077,0.8049
87,1,2.65e-05,1.8170,0.3325,0.7356,0.8182,0.8097,0.8077
88,2,1.70e-05,1.8271,0.3214,0.7367,0.8158,0.8119,0.8097
89,3,9.61e-06,1.8331,0.3255,0.7200,0.8164,0.8146,0.8119
90,4,4.28e-06,1.8118,0.3315,0.7316,0.8201,0.8170,0.8146
91,0,1.07e-06,1.8124,0.3319,0.7532,0.8154,0.8172,0.8170
92,1,1.00e-03,1.8319,0.3275,0.7250,0.8254,0.8186,0.8172
93,2,1.00e-03,1.9690,0.2896,0.9976,0.7190,0.7993,0.8186
94,3,9.99e-04,1.9956,0.2793,1.0009,0.7203,0.7801,0.8186
95,4,9.98e-04,1.9871,0.2936,0.9627,0.7280,0.7616,0.8186
96,0,9.96e-04,1.9917,0.2815,0.9650,0.7260,0.7437,0.8186
97,1,9.93e-04,2.0076,0.3002,0.9395,0.7390,0.7264,0.8186
98,2,9.90e-04,2.0332,0.2829,0.9626,0.7297,0.7286,0.8186
99,3,9.87e-04,1.9623,0.2942,0.9284,0.7412,0.7328,0.8186
100,4,9.83e-04,1.9836,0.2990,0.9399,0.7463,0.7364,0.8186
101,0,9.78e-04,1.9800,0.3086,0.9125,0.7522,0.7417,0.8186
102,1,9.73e-04,1.9591,0.2919,0.8986,0.7579,0.7455,0.8186
103,2,9.68e-04,1.9804,0.3004,0.8867,0.7579,0.7511,0.8186
104,3,9.62e-04,1.9489,0.2874,0.8877,0.7576,0.7544,0.8186
105,4,9.55e-04,1.9435,0.3138,0.8703,0.7628,0.7577,0.8186
106,0,9.48e-04,1.9022,0.3012,0.8303,0.7797,0.7632,0.8186
107,1,9.41e-04,1.9221,0.3140,0.8181,0.7887,0.7693,0.8186
108,2,9.33e-04,1.9092,0.3106,0.8102,0.7832,0.7744,0.8186
