epoch,val_fold,lr,train_loss,train_acc,val_loss,val_acc,rolling_avg,best_rolling_avg
1,0,7.40e-05,3.2768,0.0502,3.0936,0.0771,0.0771,0.0000
2,1,1.40e-04,3.2607,0.0545,3.0669,0.1049,0.0910,0.0000
3,2,2.06e-04,3.2159,0.0650,3.0751,0.1053,0.0958,0.0000
4,3,2.72e-04,3.1624,0.0780,2.9601,0.1227,0.1025,0.0000
5,4,3.38e-04,3.1040,0.0927,2.9080,0.1375,0.1095,0.0000
6,0,4.04e-04,3.0629,0.1044,2.8973,0.1435,0.1228,0.1095
7,1,4.70e-04,3.0376,0.1143,2.8770,0.1516,0.1321,0.1228
8,2,5.36e-04,3.0427,0.1114,2.8182,0.1845,0.1479,0.1321
9,3,6.02e-04,3.0766,0.1009,2.9474,0.1352,0.1504,0.1479
10,4,6.68e-04,3.0773,0.1014,2.9334,0.1390,0.1507,0.1504
11,0,7.34e-04,3.1413,0.0653,2.9549,0.1384,0.1497,0.1507
12,1,8.00e-04,3.1303,0.0703,2.8876,0.1450,0.1484,0.1507
13,2,7.86e-04,3.1301,0.0703,2.8982,0.1591,0.1433,0.1507
14,3,7.46e-04,3.1306,0.0685,2.9720,0.1213,0.1406,0.1507
15,4,6.83e-04,3.1266,0.0694,2.9190,0.1587,0.1445,0.1507
16,0,6.00e-04,3.1095,0.0731,2.8383,0.1709,0.1510,0.1507
17,1,5.04e-04,3.0928,0.0787,2.8323,0.1709,0.1562,0.1510
18,2,4.00e-04,3.0660,0.0850,2.7411,0.2065,0.1657,0.1562
19,3,2.96e-04,3.0338,0.0881,2.7376,0.2016,0.1817,0.1657
20,4,2.00e-04,3.0115,0.0933,2.6437,0.2256,0.1951,0.1817
21,0,1.17e-04,2.9852,0.0967,2.5985,0.2327,0.2075,0.1951
22,1,5.36e-05,2.9670,0.1003,2.5803,0.2371,0.2207,0.2075
23,2,1.36e-05,2.9524,0.1057,2.5238,0.2646,0.2323,0.2207
24,3,8.00e-04,2.9493,0.1053,2.5198,0.2572,0.2435,0.2323
25,4,7.97e-04,3.0164,0.0938,2.6922,0.2099,0.2403,0.2435
26,0,7.86e-04,3.0171,0.0922,2.6787,0.2163,0.2370,0.2435
27,1,7.70e-04,3.0030,0.0959,2.6743,0.2166,0.2329,0.2435
28,2,7.46e-04,3.0000,0.0945,2.6152,0.2379,0.2276,0.2435
29,3,7.17e-04,2.9891,0.0958,2.5614,0.2498,0.2261,0.2435
30,4,6.83e-04,2.9503,0.1020,2.5749,0.2483,0.2338,0.2435
31,0,6.44e-04,2.9205,0.1082,2.5173,0.2585,0.2422,0.2435
32,1,6.00e-04,2.8938,0.1105,2.5105,0.2602,0.2509,0.2435
33,2,5.53e-04,2.8749,0.1241,2.4273,0.2890,0.2612,0.2509
34,3,5.04e-04,2.8504,0.1256,2.3601,0.3048,0.2722,0.2612
35,4,4.52e-04,2.8253,0.1254,2.3199,0.3193,0.2864,0.2722
36,0,4.00e-04,2.7887,0.1350,2.2977,0.3196,0.2986,0.2864
37,1,3.48e-04,2.7778,0.1369,2.2370,0.3404,0.3146,0.2986
38,2,2.96e-04,2.7649,0.1434,2.1680,0.3570,0.3282,0.3146
39,3,2.47e-04,2.7236,0.1527,2.1520,0.3619,0.3397,0.3282
40,4,2.00e-04,2.6923,0.1491,2.1094,0.3765,0.3511,0.3397
41,0,1.56e-04,2.6541,0.1579,2.0780,0.3823,0.3636,0.3511
42,1,1.17e-04,2.6466,0.1582,2.0437,0.3903,0.3736,0.3636
43,2,8.27e-05,2.6225,0.1588,1.9649,0.4144,0.3851,0.3736
44,3,5.36e-05,2.6008,0.1712,1.9488,0.4156,0.3958,0.3851
45,4,3.04e-05,2.5790,0.1695,1.9384,0.4220,0.4049,0.3958
46,0,1.36e-05,2.5946,0.1684,1.9507,0.4157,0.4116,0.4049
47,1,3.42e-06,2.5872,0.1748,1.9287,0.4237,0.4183,0.4116
48,2,8.00e-04,2.5773,0.1780,1.8943,0.4320,0.4218,0.4183
49,3,7.99e-04,2.7260,0.1459,2.2177,0.3412,0.4069,0.4218
50,4,7.97e-04,2.7160,0.1456,2.1958,0.3475,0.3920,0.4218
51,0,7.92e-04,2.7104,0.1488,2.2108,0.3413,0.3771,0.4218
52,1,7.86e-04,2.7120,0.1522,2.1856,0.3514,0.3627,0.4218
53,2,7.79e-04,2.6929,0.1486,2.1751,0.3636,0.3490,0.4218
54,3,7.70e-04,2.6746,0.1579,2.1042,0.3722,0.3552,0.4218
55,4,7.59e-04,2.6487,0.1619,2.1171,0.3750,0.3607,0.4218
56,0,7.46e-04,2.6332,0.1652,2.0864,0.3757,0.3676,0.4218
57,1,7.33e-04,2.6175,0.1660,2.0265,0.3989,0.3771,0.4218
58,2,7.17e-04,2.5849,0.1710,1.9618,0.4148,0.3873,0.4218
59,3,7.01e-04,2.5737,0.1704,1.9160,0.4279,0.3985,0.4218
60,4,6.83e-04,2.5466,0.1757,1.9337,0.4189,0.4072,0.4218
61,0,6.64e-04,2.5275,0.1815,1.9285,0.4228,0.4166,0.4218
62,1,6.44e-04,2.5225,0.1938,1.8658,0.4400,0.4249,0.4218
63,2,6.22e-04,2.5000,0.1865,1.7920,0.4602,0.4339,0.4249
64,3,6.00e-04,2.4600,0.1982,1.7679,0.4658,0.4415,0.4339
65,4,5.77e-04,2.4365,0.2048,1.7470,0.4789,0.4535,0.4415
66,0,5.53e-04,2.4274,0.2073,1.7685,0.4661,0.4622,0.4535
67,1,5.29e-04,2.4036,0.2022,1.7318,0.4734,0.4689,0.4622
68,2,5.04e-04,2.3963,0.2055,1.6753,0.4872,0.4743,0.4689
69,3,4.78e-04,2.3667,0.2177,1.6299,0.5002,0.4812,0.4743
70,4,4.52e-04,2.3326,0.2084,1.6111,0.5100,0.4874,0.4812
71,0,4.26e-04,2.3082,0.2294,1.5746,0.5173,0.4976,0.4874
72,1,4.00e-04,2.2999,0.2188,1.5190,0.5366,0.5102,0.4976
73,2,3.74e-04,2.2811,0.2309,1.4558,0.5620,0.5252,0.5102
74,3,3.48e-04,2.2399,0.2370,1.4785,0.5486,0.5349,0.5252
75,4,3.22e-04,2.2315,0.2371,1.4244,0.5635,0.5456,0.5349
76,0,2.96e-04,2.1954,0.2505,1.3885,0.5725,0.5566,0.5456
