epoch,val_fold,lr,train_loss,train_acc,val_loss,val_acc,rolling_avg,best_rolling_avg
1,0,1.78e-05,3.4896,0.0442,3.4030,0.0690,0.0690,0.0000
2,1,3.27e-05,3.4811,0.0444,3.3987,0.0708,0.0699,0.0000
3,2,4.75e-05,3.4629,0.0468,3.3934,0.0673,0.0690,0.0000
4,3,6.24e-05,3.4509,0.0527,3.3899,0.0822,0.0723,0.0000
5,4,7.72e-05,3.4450,0.0551,3.3961,0.0777,0.0734,0.0000
6,0,9.21e-05,3.4448,0.0548,3.3869,0.0853,0.0767,0.0734
7,1,1.07e-04,3.4414,0.0548,3.3837,0.0771,0.0779,0.0767
8,2,1.22e-04,3.4409,0.0565,3.3890,0.0817,0.0808,0.0779
9,3,1.37e-04,3.4403,0.0549,3.3778,0.0809,0.0805,0.0808
10,4,1.52e-04,3.4383,0.0565,3.3901,0.0744,0.0799,0.0808
d11,0,1.66e-04,3.4371,0.0593,3.3904,0.0785,0.0785,0.0808
12,1,1.81e-04,3.4375,0.0578,3.3788,0.0846,0.0800,0.0808
13,2,1.96e-04,3.4392,0.0582,3.3665,0.0832,0.0803,0.0808
14,3,2.11e-04,3.4390,0.0554,3.3875,0.0769,0.0795,0.0808
15,4,2.26e-04,3.4382,0.0570,3.3925,0.0752,0.0797,0.0808
16,0,2.41e-04,3.4419,0.0562,3.3976,0.0815,0.0803,0.0808
17,1,2.55e-04,3.4393,0.0561,3.3859,0.0840,0.0802,0.0808
18,2,2.70e-04,3.4408,0.0573,3.3769,0.0815,0.0798,0.0808
19,3,2.85e-04,3.4384,0.0579,3.3839,0.0799,0.0804,0.0808
20,4,3.00e-04,3.4387,0.0574,3.3875,0.0804,0.0814,0.0808
21,0,2.99e-04,3.4491,0.0497,3.4010,0.0806,0.0813,0.0814
22,1,2.96e-04,3.4496,0.0508,3.3985,0.0848,0.0814,0.0814
23,2,2.90e-04,3.4495,0.0508,3.3873,0.0821,0.0815,0.0814
24,3,2.83e-04,3.4476,0.0502,3.3823,0.0751,0.0806,0.0815
25,4,2.73e-04,3.4486,0.0513,3.3700,0.0832,0.0812,0.0815
26,0,2.62e-04,3.4494,0.0496,3.3887,0.0874,0.0825,0.0815
27,1,2.49e-04,3.4463,0.0531,3.3800,0.0779,0.0811,0.0825
28,2,2.35e-04,3.4470,0.0513,3.3966,0.0802,0.0808,0.0825
29,3,2.20e-04,3.4469,0.0499,3.3766,0.0849,0.0827,0.0825
30,4,2.03e-04,3.4479,0.0518,3.3755,0.0828,0.0826,0.0827
31,0,1.86e-04,3.4451,0.0540,3.3746,0.0836,0.0819,0.0827
32,1,1.68e-04,3.4423,0.0542,3.3703,0.0869,0.0837,0.0827
33,2,1.50e-04,3.4444,0.0536,3.3756,0.0952,0.0867,0.0837
34,3,1.32e-04,3.4400,0.0548,3.3661,0.0831,0.0863,0.0867
35,4,1.14e-04,3.4416,0.0554,3.3694,0.0829,0.0863,0.0867
36,0,9.68e-05,3.4406,0.0533,3.3629,0.0907,0.0878,0.0867
37,1,8.03e-05,3.4376,0.0552,3.3637,0.0899,0.0884,0.0878
38,2,6.48e-05,3.4381,0.0552,3.3577,0.0938,0.0881,0.0884
