epoch,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc
1,2.08e-04,3.4608,0.0578,3.3455,0.0842,0.0000
2,4.06e-04,3.3915,0.0652,3.3647,0.0675,0.0842
3,6.04e-04,3.3812,0.0658,3.3555,0.0710,0.0842
4,8.02e-04,3.3770,0.0684,3.3700,0.0733,0.0842
5,1.00e-03,3.3723,0.0708,3.3331,0.0781,0.0842
6,9.76e-04,3.3694,0.0699,3.3384,0.0736,0.0842
7,9.05e-04,3.3642,0.0708,3.3327,0.0758,0.0842
8,7.94e-04,3.3574,0.0736,3.4198,0.0781,0.0842
9,6.55e-04,3.3544,0.0716,3.3166,0.0831,0.0842
10,5.00e-04,3.3473,0.0740,3.3053,0.0891,0.0842
11,3.45e-04,3.3424,0.0751,3.2938,0.0916,0.0891
12,2.06e-04,3.3385,0.0762,3.2791,0.1037,0.0916
13,9.55e-05,3.3324,0.0762,3.2735,0.1019,0.1037
14,2.45e-05,3.3298,0.0780,3.2708,0.1078,0.1037
15,0.00e+00,3.3301,0.0787,3.2652,0.1061,0.1078
