epoch,val_fold,lr,train_loss,train_acc,val_loss,val_acc,rolling_avg,best_rolling_avg
1,0,1.34e-05,3.4873,0.0425,3.3966,0.0703,0.0703,0.0000
2,1,2.58e-05,3.4709,0.0439,3.4044,0.0511,0.0607,0.0000
3,2,3.81e-05,3.4620,0.0414,3.4071,0.0705,0.0640,0.0000
4,3,5.05e-05,3.4652,0.0479,3.4071,0.0611,0.0633,0.0000
5,4,6.29e-05,3.4651,0.0435,3.4085,0.0704,0.0647,0.0000
6,0,7.53e-05,3.4649,0.0420,3.4123,0.0610,0.0628,0.0647
7,1,8.76e-05,3.4707,0.0425,3.4052,0.0550,0.0636,0.0647
8,2,1.00e-04,3.4725,0.0428,3.4211,0.0511,0.0597,0.0647
9,3,9.95e-05,3.4743,0.0432,3.4096,0.0669,0.0609,0.0647
10,4,9.81e-05,3.4752,0.0431,3.4210,0.0634,0.0595,0.0647
11,0,9.59e-05,3.4743,0.0415,3.4218,0.0347,0.0542,0.0647
12,1,9.27e-05,3.4730,0.0418,3.4093,0.0379,0.0508,0.0647
13,2,8.88e-05,3.4756,0.0422,3.4124,0.0520,0.0510,0.0647
14,3,8.41e-05,3.4716,0.0428,3.4023,0.0609,0.0498,0.0647
15,4,7.88e-05,3.4715,0.0431,3.4070,0.0704,0.0512,0.0647
16,0,7.30e-05,3.4703,0.0440,3.4162,0.0716,0.0585,0.0647
17,1,6.67e-05,3.4661,0.0446,3.4192,0.0711,0.0652,0.0647
18,2,6.02e-05,3.4645,0.0453,3.4042,0.0605,0.0669,0.0652
19,3,5.34e-05,3.4622,0.0436,3.4008,0.0587,0.0664,0.0669
20,4,4.66e-05,3.4618,0.0424,3.4032,0.0534,0.0630,0.0669
21,0,3.98e-05,3.4594,0.0465,3.3919,0.0678,0.0623,0.0669
22,1,3.33e-05,3.4581,0.0434,3.4053,0.0571,0.0595,0.0669
23,2,2.70e-05,3.4549,0.0469,3.4034,0.0595,0.0593,0.0669
24,3,2.12e-05,3.4531,0.0456,3.3959,0.0611,0.0598,0.0669
25,4,1.59e-05,3.4504,0.0484,3.3980,0.0764,0.0644,0.0669
26,0,1.12e-05,3.4514,0.0467,3.3926,0.0742,0.0657,0.0669
27,1,7.28e-06,3.4500,0.0468,3.3881,0.0762,0.0695,0.0669
28,2,4.14e-06,3.4489,0.0478,3.3920,0.0695,0.0715,0.0695
29,3,1.85e-06,3.4474,0.0477,3.3905,0.0636,0.0720,0.0715
30,4,4.66e-07,3.4469,0.0474,3.3901,0.0698,0.0707,0.0720
31,0,1.00e-04,3.4481,0.0474,3.3886,0.0769,0.0712,0.0720
32,1,9.95e-05,3.4665,0.0433,3.4095,0.0590,0.0677,0.0720
33,2,9.81e-05,3.4653,0.0442,3.4020,0.0639,0.0666,0.0720
34,3,9.59e-05,3.4677,0.0427,3.4110,0.0538,0.0647,0.0720
35,4,9.27e-05,3.4679,0.0427,3.4032,0.0698,0.0647,0.0720
36,0,8.88e-05,3.4668,0.0440,3.4008,0.0606,0.0614,0.0720
37,1,8.41e-05,3.4653,0.0451,3.4078,0.0601,0.0616,0.0720
38,2,7.88e-05,3.4642,0.0441,3.4136,0.0578,0.0604,0.0720
39,3,7.30e-05,3.4650,0.0434,3.4074,0.0644,0.0625,0.0720
40,4,6.67e-05,3.4616,0.0432,3.3943,0.0593,0.0604,0.0720
41,0,6.02e-05,3.4620,0.0421,3.4054,0.0649,0.0613,0.0720
42,1,5.34e-05,3.4602,0.0455,3.3996,0.0594,0.0612,0.0720
43,2,4.66e-05,3.4574,0.0425,3.3988,0.0635,0.0623,0.0720
44,3,3.98e-05,3.4559,0.0474,3.4004,0.0709,0.0636,0.0720
45,4,3.33e-05,3.4542,0.0456,3.4006,0.0790,0.0675,0.0720
46,0,2.70e-05,3.4540,0.0456,3.3926,0.0725,0.0691,0.0720
47,1,2.12e-05,3.4540,0.0435,3.3921,0.0724,0.0717,0.0720
48,2,1.59e-05,3.4508,0.0470,3.3913,0.0756,0.0741,0.0720
49,3,1.12e-05,3.4505,0.0464,3.3887,0.0786,0.0756,0.0741
50,4,7.28e-06,3.4491,0.0456,3.3909,0.0711,0.0740,0.0756
51,0,4.14e-06,3.4476,0.0491,3.3865,0.0777,0.0751,0.0756
52,1,1.85e-06,3.4490,0.0488,3.3898,0.0733,0.0753,0.0756
53,2,4.66e-07,3.4473,0.0483,3.3879,0.0762,0.0754,0.0756
54,3,1.00e-04,3.4484,0.0491,3.3886,0.0799,0.0757,0.0756
55,4,9.95e-05,3.4645,0.0444,3.4057,0.0598,0.0734,0.0757
56,0,9.81e-05,3.4654,0.0454,3.4008,0.0642,0.0707,0.0757
57,1,9.59e-05,3.4658,0.0463,3.4075,0.0703,0.0701,0.0757
58,2,9.27e-05,3.4649,0.0438,3.4044,0.0637,0.0676,0.0757
59,3,8.88e-05,3.4625,0.0446,3.4032,0.0606,0.0637,0.0757
60,4,8.41e-05,3.4650,0.0467,3.4015,0.0720,0.0662,0.0757
61,0,7.88e-05,3.4628,0.0463,3.4035,0.0691,0.0671,0.0757
62,1,7.30e-05,3.4625,0.0454,3.4013,0.0553,0.0641,0.0757
63,2,6.67e-05,3.4614,0.0445,3.3984,0.0707,0.0655,0.0757
64,3,6.02e-05,3.4596,0.0463,3.4061,0.0588,0.0652,0.0757
65,4,5.34e-05,3.4593,0.0437,3.3950,0.0664,0.0641,0.0757
66,0,4.66e-05,3.4573,0.0441,3.4007,0.0572,0.0617,0.0757
67,1,3.98e-05,3.4560,0.0458,3.3966,0.0608,0.0628,0.0757
68,2,3.33e-05,3.4566,0.0447,3.3976,0.0635,0.0613,0.0757
69,3,2.70e-05,3.4536,0.0482,3.3986,0.0632,0.0622,0.0757
70,4,2.12e-05,3.4516,0.0460,3.4001,0.0642,0.0618,0.0757
71,0,1.59e-05,3.4497,0.0458,3.3900,0.0618,0.0627,0.0757
72,1,1.12e-05,3.4488,0.0456,3.3924,0.0668,0.0639,0.0757
73,2,7.28e-06,3.4477,0.0480,3.3894,0.0708,0.0653,0.0757
74,3,4.14e-06,3.4481,0.0454,3.3886,0.0712,0.0669,0.0757
75,4,1.85e-06,3.4457,0.0456,3.3885,0.0776,0.0696,0.0757
76,0,4.66e-07,3.4441,0.0472,3.3870,0.0640,0.0701,0.0757
77,1,1.00e-04,3.4464,0.0466,3.3875,0.0687,0.0705,0.0757
78,2,9.95e-05,3.4629,0.0424,3.3966,0.0452,0.0653,0.0757
79,3,9.81e-05,3.4682,0.0435,3.4138,0.0604,0.0632,0.0757
80,4,9.59e-05,3.4650,0.0452,3.4000,0.0679,0.0613,0.0757
81,0,9.27e-05,3.4637,0.0433,3.4041,0.0669,0.0618,0.0757
82,1,8.88e-05,3.4644,0.0448,3.4106,0.0494,0.0580,0.0757
83,2,8.41e-05,3.4645,0.0425,3.4077,0.0668,0.0623,0.0757
84,3,7.88e-05,3.4644,0.0460,3.4027,0.0704,0.0643,0.0757
85,4,7.30e-05,3.4625,0.0443,3.4058,0.0553,0.0618,0.0757
86,0,6.67e-05,3.4625,0.0419,3.4045,0.0529,0.0590,0.0757
87,1,6.02e-05,3.4593,0.0433,3.3910,0.0704,0.0632,0.0757
88,2,5.34e-05,3.4584,0.0447,3.3987,0.0705,0.0639,0.0757
89,3,4.66e-05,3.4569,0.0450,3.3902,0.0704,0.0639,0.0757
90,4,3.98e-05,3.4543,0.0461,3.3960,0.0619,0.0652,0.0757
91,0,3.33e-05,3.4540,0.0457,3.3920,0.0706,0.0688,0.0757
92,1,2.70e-05,3.4529,0.0463,3.3986,0.0599,0.0667,0.0757
93,2,2.12e-05,3.4515,0.0463,3.3939,0.0625,0.0651,0.0757
94,3,1.59e-05,3.4490,0.0464,3.3885,0.0674,0.0645,0.0757
