epoch,val_fold,lr,train_loss,train_acc,val_loss,val_acc,rolling_avg,best_rolling_avg
1,0,1.34e-04,3.4871,0.0423,3.3950,0.0722,0.0722,0.0000
2,1,2.57e-04,3.4715,0.0413,3.4054,0.0566,0.0644,0.0000
3,2,3.81e-04,3.4624,0.0440,3.4099,0.0570,0.0619,0.0000
4,3,5.05e-04,3.4605,0.0448,3.4063,0.0666,0.0631,0.0000
5,4,6.29e-04,3.4584,0.0463,3.4097,0.0666,0.0638,0.0000
6,0,7.52e-04,3.4650,0.0453,3.4058,0.0791,0.0652,0.0638
7,1,8.76e-04,3.4621,0.0446,3.4067,0.0696,0.0678,0.0652
8,2,1.00e-03,3.4649,0.0452,3.4119,0.0611,0.0686,0.0678
9,3,9.95e-04,3.4676,0.0434,3.4134,0.0553,0.0663,0.0686
10,4,9.81e-04,3.4647,0.0442,3.4014,0.0653,0.0661,0.0686
11,0,9.59e-04,3.4633,0.0428,3.4051,0.0661,0.0635,0.0686
12,1,9.27e-04,3.4609,0.0459,3.4079,0.0597,0.0615,0.0686
13,2,8.88e-04,3.4617,0.0433,3.4108,0.0539,0.0601,0.0686
14,3,8.41e-04,3.4618,0.0446,3.4079,0.0523,0.0595,0.0686
15,4,7.88e-04,3.4587,0.0452,3.4052,0.0598,0.0584,0.0686
16,0,7.30e-04,3.4572,0.0453,3.4004,0.0707,0.0593,0.0686
17,1,6.67e-04,3.4556,0.0462,3.3984,0.0717,0.0617,0.0686
18,2,6.02e-04,3.4508,0.0459,3.3976,0.0571,0.0623,0.0686
19,3,5.34e-04,3.4501,0.0490,3.3958,0.0722,0.0663,0.0686
20,4,4.66e-04,3.4491,0.0462,3.3901,0.0759,0.0695,0.0686
21,0,3.98e-04,3.4467,0.0467,3.3851,0.0768,0.0707,0.0695
22,1,3.33e-04,3.4440,0.0476,3.3731,0.0818,0.0728,0.0707
23,2,2.70e-04,3.4448,0.0475,3.3697,0.0718,0.0757,0.0728
24,3,2.12e-04,3.4413,0.0485,3.3740,0.0841,0.0781,0.0757
25,4,1.59e-04,3.4404,0.0509,3.3692,0.0867,0.0802,0.0781
26,0,1.12e-04,3.4397,0.0506,3.3635,0.0857,0.0820,0.0802
27,1,7.28e-05,3.4370,0.0511,3.3718,0.0864,0.0829,0.0820
28,2,4.14e-05,3.4369,0.0508,3.3629,0.0898,0.0865,0.0829
29,3,1.85e-05,3.4344,0.0495,3.3614,0.0846,0.0866,0.0865
30,4,4.66e-06,3.4339,0.0515,3.3602,0.0876,0.0868,0.0866
31,0,1.00e-03,3.4346,0.0530,3.3621,0.0863,0.0869,0.0868
32,1,9.95e-04,3.4542,0.0458,3.4051,0.0697,0.0836,0.0869
33,2,9.81e-04,3.4544,0.0469,3.3887,0.0721,0.0800,0.0869
34,3,9.59e-04,3.4519,0.0473,3.3807,0.0799,0.0791,0.0869
35,4,9.27e-04,3.4529,0.0447,3.3822,0.0716,0.0759,0.0869
36,0,8.88e-04,3.4536,0.0471,3.3904,0.0678,0.0722,0.0869
37,1,8.41e-04,3.4487,0.0473,3.3742,0.0702,0.0723,0.0869
38,2,7.88e-04,3.4455,0.0466,3.3884,0.0699,0.0719,0.0869
39,3,7.30e-04,3.4508,0.0489,3.3797,0.0788,0.0717,0.0869
40,4,6.67e-04,3.4467,0.0478,3.3754,0.0735,0.0720,0.0869
41,0,6.02e-04,3.4456,0.0478,3.3819,0.0800,0.0745,0.0869
42,1,5.34e-04,3.4437,0.0501,3.3733,0.0803,0.0765,0.0869
43,2,4.66e-04,3.4392,0.0500,3.3676,0.0808,0.0787,0.0869
44,3,3.98e-04,3.4371,0.0500,3.3615,0.0914,0.0812,0.0869
45,4,3.33e-04,3.4377,0.0517,3.3654,0.0821,0.0829,0.0869
46,0,2.70e-04,3.4359,0.0520,3.3603,0.0902,0.0850,0.0869
47,1,2.12e-04,3.4361,0.0531,3.3609,0.0894,0.0868,0.0869
48,2,1.59e-04,3.4323,0.0538,3.3558,0.0890,0.0884,0.0869
49,3,1.12e-04,3.4329,0.0523,3.3555,0.0920,0.0885,0.0884
50,4,7.28e-05,3.4322,0.0526,3.3548,0.0917,0.0905,0.0885
51,0,4.14e-05,3.4320,0.0526,3.3554,0.0911,0.0906,0.0905
52,1,1.85e-05,3.4303,0.0526,3.3587,0.0904,0.0908,0.0906
53,2,4.66e-06,3.4301,0.0525,3.3543,0.0886,0.0907,0.0908
54,3,1.00e-03,3.4309,0.0540,3.3553,0.0912,0.0906,0.0908
55,4,9.95e-04,3.4434,0.0492,3.3792,0.0872,0.0897,0.0908
56,0,9.81e-04,3.4482,0.0489,3.3768,0.0728,0.0861,0.0908
57,1,9.59e-04,3.4452,0.0506,3.3740,0.0674,0.0815,0.0908
