epoch,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc
1,1.34e-04,3.4950,0.0472,3.3450,0.0841,0.0000
2,2.57e-04,3.4554,0.0522,3.3153,0.1055,0.0841
3,3.81e-04,3.4116,0.0661,3.3764,0.0792,0.1055
4,5.05e-04,3.3744,0.0786,3.2430,0.1419,0.1055
5,6.29e-04,3.3353,0.0995,3.1739,0.1590,0.1419
6,7.52e-04,3.2870,0.1154,3.1220,0.1774,0.1590
7,8.76e-04,3.2363,0.1351,2.9917,0.2158,0.1774
8,1.00e-03,3.1952,0.1462,2.9809,0.2184,0.2158
9,1.00e-03,3.1455,0.1670,2.9466,0.2282,0.2184
10,9.98e-04,3.0922,0.1838,2.8454,0.2560,0.2282
11,9.96e-04,3.1507,0.1192,2.8703,0.2664,0.2560
12,9.92e-04,3.1377,0.1225,2.7983,0.2821,0.2664
13,9.88e-04,3.1028,0.1323,2.7495,0.2978,0.2821
14,9.83e-04,3.0755,0.1412,2.6641,0.3220,0.2978
15,9.77e-04,3.0415,0.1448,2.7463,0.2907,0.3220
16,9.70e-04,3.0314,0.1488,2.6658,0.3177,0.3220
17,9.62e-04,2.9968,0.1562,2.6030,0.3468,0.3220
18,9.53e-04,2.9733,0.1681,2.5898,0.3447,0.3468
19,9.44e-04,2.9510,0.1649,2.5467,0.3532,0.3468
20,9.33e-04,2.9288,0.1731,2.4863,0.3832,0.3532
21,9.22e-04,2.8974,0.1792,2.4949,0.3746,0.3832
22,9.10e-04,2.8715,0.1765,2.4480,0.3888,0.3832
23,8.97e-04,2.8609,0.1861,2.4066,0.4125,0.3888
24,8.83e-04,2.8248,0.1925,2.4504,0.3895,0.4125
25,8.69e-04,2.8122,0.1996,2.3854,0.4113,0.4125
26,8.54e-04,2.7990,0.2051,2.3744,0.4170,0.4125
27,8.38e-04,2.7515,0.2094,2.3700,0.4203,0.4170
28,8.21e-04,2.7464,0.2053,2.3697,0.4213,0.4203
29,8.04e-04,2.7467,0.2056,2.2946,0.4417,0.4213
30,7.87e-04,2.7017,0.2218,2.3466,0.4147,0.4417
31,7.69e-04,2.6815,0.2242,2.3081,0.4306,0.4417
32,7.50e-04,2.6807,0.2211,2.2647,0.4460,0.4417
33,7.31e-04,2.6574,0.2433,2.2648,0.4452,0.4460
34,7.11e-04,2.6275,0.2401,2.2630,0.4495,0.4460
35,6.91e-04,2.6355,0.2360,2.2386,0.4587,0.4495
36,6.71e-04,2.6066,0.2426,2.1953,0.4715,0.4587
37,6.50e-04,2.5830,0.2474,2.2352,0.4649,0.4715
38,6.29e-04,2.5617,0.2543,2.1830,0.4738,0.4715
39,6.08e-04,2.5514,0.2608,2.2026,0.4691,0.4738
40,5.87e-04,2.5299,0.2514,2.1563,0.4844,0.4738
41,5.65e-04,2.5183,0.2603,2.1972,0.4745,0.4844
42,5.44e-04,2.4999,0.2576,2.1370,0.4924,0.4844
43,5.22e-04,2.4787,0.2520,2.1487,0.4888,0.4924
44,5.00e-04,2.4656,0.2799,2.1352,0.4919,0.4924
45,4.78e-04,2.4585,0.2700,2.0817,0.5098,0.4924
46,4.56e-04,2.4639,0.2753,2.1261,0.4934,0.5098
47,4.35e-04,2.4232,0.2863,2.1040,0.5027,0.5098
48,4.13e-04,2.4048,0.2878,2.1222,0.4965,0.5098
49,3.92e-04,2.4028,0.2822,2.1105,0.4987,0.5098
50,3.71e-04,2.4090,0.2964,2.0958,0.5089,0.5098
51,3.50e-04,2.3858,0.2962,2.0977,0.5073,0.5098
52,3.29e-04,2.3710,0.3023,2.1195,0.5007,0.5098
53,3.09e-04,2.3528,0.2912,2.0865,0.5062,0.5098
54,2.89e-04,2.3416,0.3002,2.0805,0.5136,0.5098
55,2.69e-04,2.3253,0.3174,2.0854,0.5091,0.5136
56,2.50e-04,2.3158,0.3130,2.0587,0.5204,0.5136
57,2.31e-04,2.3371,0.3139,2.0760,0.5159,0.5204
58,2.13e-04,2.2884,0.3110,2.0420,0.5247,0.5204
59,1.96e-04,2.3317,0.3080,2.0794,0.5131,0.5247
60,1.79e-04,2.2940,0.3121,2.0667,0.5139,0.5247
61,1.62e-04,2.2966,0.3165,2.0546,0.5228,0.5247
62,1.46e-04,2.2727,0.3346,2.0495,0.5238,0.5247
63,1.31e-04,2.2788,0.3266,2.0651,0.5192,0.5247
64,1.17e-04,2.2673,0.3279,2.0416,0.5247,0.5247
65,1.03e-04,2.2556,0.3305,2.0532,0.5221,0.5247
66,9.04e-05,2.2193,0.3304,2.0519,0.5234,0.5247
67,7.83e-05,2.2308,0.3223,2.0673,0.5213,0.5247
68,6.70e-05,2.2486,0.3331,2.0501,0.5257,0.5247
69,5.65e-05,2.2520,0.3426,2.0373,0.5309,0.5257
70,4.68e-05,2.2376,0.3191,2.0427,0.5231,0.5309
71,3.81e-05,2.2268,0.3466,2.0355,0.5306,0.5309
72,3.02e-05,2.2069,0.3366,2.0396,0.5267,0.5309
73,2.31e-05,2.2486,0.3346,2.0391,0.5288,0.5309
74,1.70e-05,2.1925,0.3348,2.0257,0.5301,0.5309
75,1.19e-05,2.2368,0.3329,2.0246,0.5332,0.5309
76,7.60e-06,2.2187,0.3381,2.0326,0.5286,0.5332
77,4.28e-06,2.2177,0.3310,2.0293,0.5307,0.5332
78,1.90e-06,2.1920,0.3539,2.0385,0.5259,0.5332
79,4.76e-07,2.2152,0.3510,2.0323,0.5299,0.5332
80,0.00e+00,2.2105,0.3344,2.0421,0.5291,0.5332
