epoch,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc
1,1.34e-04,3.6084,0.0387,3.3959,0.0796,0.0000
2,2.57e-04,3.4847,0.0470,3.3984,0.0742,0.0796
3,3.81e-04,3.4556,0.0516,3.4035,0.0746,0.0796
4,5.05e-04,3.4466,0.0525,3.3662,0.0725,0.0796
5,6.29e-04,3.4294,0.0594,3.3465,0.0970,0.0796
6,7.52e-04,3.4166,0.0664,3.3346,0.0910,0.0970
7,8.76e-04,3.4219,0.0654,3.3291,0.1030,0.0970
8,1.00e-03,3.4229,0.0659,3.3237,0.0971,0.1030
9,9.97e-04,3.4123,0.0699,3.3131,0.1050,0.1030
10,9.87e-04,3.3985,0.0784,3.2912,0.1290,0.1050
11,9.72e-04,3.3931,0.0673,3.2124,0.1514,0.1290
12,9.50e-04,3.3781,0.0723,3.2063,0.1588,0.1514
13,9.23e-04,3.3602,0.0774,3.1825,0.1758,0.1588
14,8.91e-04,3.3413,0.0860,3.0906,0.1968,0.1758
15,8.54e-04,3.3206,0.0884,3.0497,0.2215,0.1968
16,8.12e-04,3.2992,0.0946,3.0138,0.2376,0.2215
17,7.66e-04,3.2794,0.1016,2.9511,0.2514,0.2376
18,7.17e-04,3.2529,0.1105,2.9369,0.2527,0.2514
19,6.65e-04,3.2376,0.1070,2.8882,0.2729,0.2527
20,6.11e-04,3.2290,0.1127,2.8587,0.2819,0.2729
21,5.56e-04,3.1926,0.1173,2.8306,0.2953,0.2819
22,5.00e-04,3.1936,0.1188,2.8033,0.3063,0.2953
23,4.44e-04,3.1683,0.1238,2.7995,0.3023,0.3063
24,3.89e-04,3.1377,0.1404,2.7614,0.3190,0.3063
25,3.35e-04,3.1381,0.1348,2.7212,0.3335,0.3190
26,2.83e-04,3.1165,0.1407,2.6986,0.3410,0.3335
27,2.34e-04,3.0887,0.1447,2.6938,0.3485,0.3410
28,1.88e-04,3.0837,0.1442,2.6641,0.3510,0.3485
29,1.46e-04,3.0684,0.1432,2.6477,0.3566,0.3510
30,1.09e-04,3.0563,0.1483,2.6313,0.3618,0.3566
31,7.66e-05,3.0531,0.1555,2.6242,0.3678,0.3618
32,4.95e-05,3.0481,0.1537,2.6116,0.3680,0.3678
33,2.81e-05,3.0314,0.1611,2.6018,0.3729,0.3680
34,1.25e-05,3.0240,0.1627,2.5971,0.3733,0.3729
35,3.14e-06,3.0394,0.1565,2.5961,0.3765,0.3733
36,1.00e-03,3.0325,0.1642,2.5931,0.3749,0.3765
37,9.97e-04,3.1185,0.1346,2.7056,0.3335,0.3765
38,9.87e-04,3.1279,0.1393,2.7301,0.3387,0.3765
39,9.72e-04,3.1118,0.1417,2.6905,0.3444,0.3765
40,9.50e-04,3.0947,0.1416,2.6728,0.3556,0.3765
41,9.23e-04,3.0777,0.1487,2.6482,0.3518,0.3765
42,8.91e-04,3.0651,0.1504,2.6303,0.3644,0.3765
43,8.54e-04,3.0408,0.1512,2.6202,0.3619,0.3765
44,8.12e-04,3.0293,0.1567,2.5945,0.3734,0.3765
45,7.66e-04,3.0025,0.1649,2.5902,0.3816,0.3765
46,7.17e-04,3.0037,0.1656,2.5510,0.3970,0.3816
47,6.65e-04,2.9656,0.1711,2.5272,0.3933,0.3970
48,6.11e-04,2.9658,0.1731,2.4988,0.4117,0.3970
49,5.56e-04,2.9450,0.1837,2.4492,0.4245,0.4117
50,5.00e-04,2.9097,0.1831,2.4547,0.4233,0.4245
51,4.44e-04,2.8889,0.1934,2.4319,0.4377,0.4245
52,3.89e-04,2.8770,0.1969,2.4249,0.4338,0.4377
53,3.35e-04,2.8792,0.1928,2.4085,0.4404,0.4377
54,2.83e-04,2.8527,0.2061,2.3847,0.4429,0.4404
55,2.34e-04,2.8278,0.2114,2.3697,0.4526,0.4429
