epoch,val_fold,lr,train_loss,train_acc,val_loss,val_acc,rolling_avg,best_rolling_avg
1,0,1.34e-04,3.3034,0.0424,3.1550,0.0627,0.0627,0.0000
2,1,2.57e-04,3.2730,0.0492,3.1852,0.0564,0.0596,0.0000
3,2,3.81e-04,3.2220,0.0529,3.0984,0.0830,0.0674,0.0000
4,3,5.05e-04,3.2023,0.0588,3.0857,0.0852,0.0718,0.0000
5,4,6.29e-04,3.1881,0.0639,3.1307,0.0834,0.0741,0.0000
6,0,7.52e-04,3.1785,0.0645,3.0463,0.0929,0.0802,0.0741
7,1,8.76e-04,3.1686,0.0713,3.1024,0.0908,0.0871,0.0802
8,2,1.00e-03,3.1550,0.0759,3.0001,0.1335,0.0972,0.0871
9,3,9.96e-04,3.1218,0.0895,2.9162,0.1410,0.1083,0.0972
10,4,9.84e-04,3.0800,0.1045,2.8567,0.1688,0.1254,0.1083
11,0,9.65e-04,3.0840,0.0799,2.7763,0.1722,0.1412,0.1254
12,1,9.38e-04,3.0624,0.0863,2.7430,0.1998,0.1630,0.1412
13,2,9.05e-04,3.0336,0.0888,2.6700,0.2142,0.1792,0.1630
14,3,8.64e-04,3.0016,0.0989,2.5876,0.2401,0.1990,0.1792
15,4,8.19e-04,2.9543,0.1074,2.5187,0.2645,0.2182,0.1990
16,0,7.68e-04,2.9405,0.1117,2.4844,0.2680,0.2373,0.2182
17,1,7.13e-04,2.9156,0.1145,2.3962,0.2958,0.2565,0.2373
18,2,6.55e-04,2.8814,0.1258,2.3764,0.3121,0.2761,0.2565
19,3,5.94e-04,2.8528,0.1266,2.3122,0.3183,0.2918,0.2761
20,4,5.31e-04,2.8155,0.1328,2.2643,0.3315,0.3052,0.2918
21,0,4.69e-04,2.7758,0.1357,2.2194,0.3411,0.3198,0.3052
22,1,4.06e-04,2.7659,0.1373,2.1949,0.3552,0.3317,0.3198
23,2,3.45e-04,2.7501,0.1439,2.1052,0.3732,0.3439,0.3317
24,3,2.87e-04,2.7066,0.1540,2.0832,0.3726,0.3547,0.3439
25,4,2.32e-04,2.6873,0.1604,2.0138,0.4011,0.3686,0.3547
26,0,1.81e-04,2.6680,0.1566,2.0200,0.4000,0.3804,0.3686
27,1,1.36e-04,2.6353,0.1690,1.9842,0.4052,0.3904,0.3804
28,2,9.55e-05,2.6298,0.1622,1.9110,0.4243,0.4006,0.3904
29,3,6.18e-05,2.5929,0.1676,1.9098,0.4229,0.4107,0.4006
30,4,3.51e-05,2.5869,0.1622,1.8997,0.4331,0.4171,0.4107
31,0,1.57e-05,2.5890,0.1731,1.9137,0.4358,0.4242,0.4171
32,1,3.94e-06,2.5994,0.1683,1.8996,0.4291,0.4290,0.4242
33,2,1.00e-03,2.5823,0.1818,1.8591,0.4444,0.4330,0.4290
34,3,9.96e-04,2.7098,0.1513,2.1019,0.3704,0.4226,0.4330
35,4,9.84e-04,2.7102,0.1486,2.0774,0.3877,0.4135,0.4330
36,0,9.65e-04,2.6953,0.1510,2.1015,0.3819,0.4027,0.4330
37,1,9.38e-04,2.6759,0.1537,2.0612,0.3890,0.3947,0.4330
38,2,9.05e-04,2.6721,0.1624,1.9882,0.4080,0.3874,0.4330
39,3,8.64e-04,2.6236,0.1670,2.0053,0.4009,0.3935,0.4330
40,4,8.19e-04,2.6084,0.1696,1.8960,0.4297,0.4019,0.4330
41,0,7.68e-04,2.5866,0.1746,1.8852,0.4377,0.4131,0.4330
42,1,7.13e-04,2.5632,0.1714,1.8830,0.4310,0.4215,0.4330
43,2,6.55e-04,2.5269,0.1777,1.7804,0.4596,0.4318,0.4330
44,3,5.94e-04,2.5077,0.1871,1.7651,0.4656,0.4447,0.4330
45,4,5.31e-04,2.4716,0.1896,1.7138,0.4919,0.4571,0.4447
46,0,4.69e-04,2.4822,0.1968,1.6824,0.4955,0.4687,0.4571
47,1,4.06e-04,2.4174,0.2067,1.6529,0.5001,0.4825,0.4687
48,2,3.45e-04,2.3915,0.2080,1.6226,0.5157,0.4938,0.4825
49,3,2.87e-04,2.3827,0.2171,1.5646,0.5249,0.5056,0.4938
50,4,2.32e-04,2.3481,0.2167,1.5620,0.5303,0.5133,0.5056
51,0,1.81e-04,2.3206,0.2248,1.5260,0.5411,0.5224,0.5133
52,1,1.36e-04,2.3003,0.2194,1.4993,0.5436,0.5311,0.5224
53,2,9.55e-05,2.3278,0.2173,1.4721,0.5592,0.5398,0.5311
54,3,6.18e-05,2.2802,0.2333,1.4402,0.5640,0.5476,0.5398
55,4,3.51e-05,2.2580,0.2341,1.4214,0.5750,0.5566,0.5476
56,0,1.57e-05,2.2707,0.2377,1.4270,0.5726,0.5629,0.5566
57,1,3.94e-06,2.2861,0.2216,1.4298,0.5702,0.5682,0.5629
58,2,1.00e-03,2.2745,0.2318,1.4196,0.5784,0.5720,0.5682
59,3,9.96e-04,2.4242,0.2047,1.6531,0.4977,0.5588,0.5720
60,4,9.84e-04,2.4323,0.1991,1.6850,0.4997,0.5437,0.5720
61,0,9.65e-04,2.4154,0.2064,1.6787,0.4980,0.5288,0.5720
62,1,9.38e-04,2.4037,0.2122,1.6400,0.5024,0.5152,0.5720
63,2,9.05e-04,2.3893,0.2152,1.5878,0.5165,0.5029,0.5720
64,3,8.64e-04,2.3605,0.2147,1.5541,0.5284,0.5090,0.5720
65,4,8.19e-04,2.3352,0.2230,1.4976,0.5512,0.5193,0.5720
66,0,7.68e-04,2.3074,0.2225,1.5201,0.5452,0.5287,0.5720
67,1,7.13e-04,2.3005,0.2219,1.4813,0.5577,0.5398,0.5720
68,2,6.55e-04,2.2945,0.2271,1.4098,0.5784,0.5522,0.5720
69,3,5.94e-04,2.2618,0.2340,1.4199,0.5691,0.5603,0.5720
70,4,5.31e-04,2.2389,0.2314,1.3795,0.5887,0.5678,0.5720
71,0,4.69e-04,2.1815,0.2499,1.3634,0.5967,0.5781,0.5720
72,1,4.06e-04,2.1903,0.2448,1.3111,0.6124,0.5891,0.5781
73,2,3.45e-04,2.1595,0.2604,1.2692,0.6216,0.5977,0.5891
74,3,2.87e-04,2.1303,0.2564,1.2507,0.6316,0.6102,0.5977
75,4,2.32e-04,2.1405,0.2555,1.2156,0.6452,0.6215,0.6102
76,0,1.81e-04,2.0991,0.2688,1.2080,0.6463,0.6314,0.6215
77,1,1.36e-04,2.0589,0.2625,1.1448,0.6570,0.6403,0.6314
78,2,9.55e-05,2.0577,0.2877,1.1276,0.6654,0.6491,0.6403
79,3,6.18e-05,2.0441,0.2894,1.1174,0.6700,0.6568,0.6491
80,4,3.51e-05,2.0421,0.2852,1.1025,0.6816,0.6640,0.6568
81,0,1.57e-05,2.0446,0.2722,1.1191,0.6730,0.6694,0.6640
82,1,3.94e-06,2.0392,0.2852,1.0788,0.6823,0.6745,0.6694
83,2,1.00e-03,2.0488,0.2650,1.0870,0.6862,0.6786,0.6745
84,3,9.96e-04,2.2153,0.2576,1.3394,0.5998,0.6646,0.6786
85,4,9.84e-04,2.2303,0.2380,1.3725,0.5919,0.6466,0.6786
86,0,9.65e-04,2.2072,0.2491,1.4009,0.5806,0.6282,0.6786
87,1,9.38e-04,2.1828,0.2442,1.3480,0.5889,0.6095,0.6786
88,2,9.05e-04,2.1932,0.2494,1.2719,0.6220,0.5966,0.6786
89,3,8.64e-04,2.1865,0.2497,1.3188,0.6103,0.5987,0.6786
90,4,8.19e-04,2.1340,0.2641,1.2969,0.6173,0.6038,0.6786
91,0,7.68e-04,2.1088,0.2601,1.2712,0.6262,0.6129,0.6786
92,1,7.13e-04,2.1096,0.2682,1.2031,0.6439,0.6239,0.6786
93,2,6.55e-04,2.0786,0.2691,1.1915,0.6404,0.6276,0.6786
94,3,5.94e-04,2.0352,0.2689,1.1559,0.6557,0.6367,0.6786
95,4,5.31e-04,2.0199,0.2800,1.1001,0.6761,0.6485,0.6786
96,0,4.69e-04,1.9815,0.2829,1.0933,0.6821,0.6596,0.6786
97,1,4.06e-04,2.0123,0.3036,1.0600,0.6881,0.6685,0.6786
