epoch,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc
1,1.34e-04,3.2820,0.0455,3.1069,0.0831,0.0000
2,2.57e-04,3.2359,0.0538,3.0487,0.1066,0.0831
3,3.81e-04,3.1869,0.0649,3.0736,0.1000,0.1066
4,5.05e-04,3.1476,0.0789,2.9789,0.1341,0.1066
5,6.29e-04,3.1022,0.0957,2.8275,0.1784,0.1341
6,7.52e-04,3.0491,0.1145,2.7433,0.1941,0.1784
7,8.76e-04,2.9893,0.1341,2.7137,0.2057,0.1941
8,1.00e-03,2.9330,0.1461,2.6425,0.2449,0.2057
9,1.00e-03,2.8817,0.1639,2.5315,0.2505,0.2449
10,1.00e-03,2.8150,0.1792,2.4567,0.2818,0.2505
11,9.99e-04,2.8923,0.1184,2.3956,0.3041,0.2818
12,9.98e-04,2.8676,0.1194,2.3361,0.3073,0.3041
13,9.97e-04,2.8311,0.1299,2.2873,0.3316,0.3073
14,9.96e-04,2.8026,0.1352,2.2938,0.3163,0.3316
15,9.94e-04,2.7672,0.1417,2.2451,0.3380,0.3316
16,9.92e-04,2.7555,0.1432,2.1854,0.3584,0.3380
17,9.90e-04,2.7197,0.1501,2.1717,0.3637,0.3584
18,9.88e-04,2.6819,0.1649,2.0832,0.3819,0.3637
19,9.85e-04,2.6644,0.1600,2.0577,0.3928,0.3819
20,9.82e-04,2.6382,0.1673,2.0192,0.4016,0.3928
21,9.79e-04,2.6011,0.1714,1.9802,0.4118,0.4016
22,9.76e-04,2.5765,0.1691,1.9568,0.4192,0.4118
23,9.73e-04,2.5675,0.1782,1.9220,0.4303,0.4192
24,9.69e-04,2.5204,0.1863,1.9303,0.4240,0.4303
25,9.65e-04,2.5083,0.1923,1.8839,0.4379,0.4303
26,9.61e-04,2.4912,0.2009,1.8551,0.4472,0.4379
27,9.56e-04,2.4453,0.1997,1.8348,0.4511,0.4472
28,9.52e-04,2.4355,0.1939,1.8291,0.4525,0.4511
29,9.47e-04,2.4425,0.1951,1.7742,0.4738,0.4525
30,9.42e-04,2.3923,0.2122,1.7809,0.4732,0.4738
31,9.37e-04,2.3556,0.2172,1.7671,0.4689,0.4738
32,9.31e-04,2.3571,0.2163,1.7336,0.4811,0.4738
33,9.25e-04,2.3440,0.2319,1.7390,0.4881,0.4811
34,9.20e-04,2.3118,0.2295,1.7358,0.4886,0.4881
