epoch,val_fold,lr,train_loss,train_acc,val_loss,val_acc,rolling_avg,best_rolling_avg
1,0,1.34e-04,3.2792,0.0469,3.1140,0.0839,0.0839,0.0000
2,1,2.57e-04,3.2343,0.0543,3.0726,0.0944,0.0892,0.0000
3,2,3.81e-04,3.1866,0.0666,3.0368,0.1203,0.0996,0.0000
4,3,5.05e-04,3.1530,0.0766,2.9976,0.1099,0.1022,0.0000
5,4,6.29e-04,3.1094,0.0927,2.8554,0.1691,0.1156,0.0000
6,0,7.52e-04,3.0546,0.1141,2.8053,0.1846,0.1357,0.1156
7,1,8.76e-04,3.0099,0.1263,2.7468,0.1943,0.1557,0.1357
8,2,1.00e-03,2.9555,0.1404,2.6187,0.2472,0.1810,0.1557
9,3,9.96e-04,2.9094,0.1551,2.5799,0.2363,0.2063,0.1810
10,4,9.84e-04,2.8442,0.1732,2.5005,0.2602,0.2245,0.2063
11,0,9.65e-04,2.9083,0.1157,2.4325,0.2888,0.2454,0.2245
12,1,9.38e-04,2.8827,0.1234,2.3777,0.3026,0.2670,0.2454
13,2,9.05e-04,2.8482,0.1254,2.3039,0.3230,0.2822,0.2670
14,3,8.64e-04,2.8216,0.1344,2.2264,0.3424,0.3034,0.2822
15,4,8.19e-04,2.7825,0.1417,2.1657,0.3549,0.3224,0.3034
16,0,7.68e-04,2.7589,0.1447,2.1218,0.3764,0.3399,0.3224
17,1,7.13e-04,2.7216,0.1481,2.0960,0.3814,0.3557,0.3399
18,2,6.55e-04,2.6950,0.1608,2.0197,0.3986,0.3708,0.3557
19,3,5.94e-04,2.6490,0.1640,1.9936,0.4012,0.3825,0.3708
20,4,5.31e-04,2.6243,0.1691,1.9080,0.4325,0.3980,0.3825
21,0,4.69e-04,2.5763,0.1744,1.8919,0.4410,0.4110,0.3980
22,1,4.06e-04,2.5805,0.1762,1.8332,0.4510,0.4249,0.4110
23,2,3.45e-04,2.5412,0.1813,1.7868,0.4651,0.4382,0.4249
24,3,2.87e-04,2.5083,0.1951,1.7221,0.4791,0.4537,0.4382
25,4,2.32e-04,2.5006,0.1950,1.6993,0.5002,0.4673,0.4537
26,0,1.81e-04,2.4860,0.1899,1.6749,0.4999,0.4791,0.4673
27,1,1.36e-04,2.4316,0.2102,1.6495,0.5040,0.4897,0.4791
28,2,9.55e-05,2.4399,0.1985,1.5986,0.5197,0.5006,0.4897
29,3,6.18e-05,2.4204,0.2020,1.5724,0.5226,0.5093,0.5006
30,4,3.51e-05,2.4127,0.2051,1.5724,0.5363,0.5165,0.5093
31,0,1.57e-05,2.3862,0.2173,1.5737,0.5318,0.5229,0.5165
32,1,3.94e-06,2.4103,0.2075,1.5714,0.5290,0.5279,0.5229
