epoch,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc
1,6.69e-05,3.2826,0.0506,3.0991,0.0971,0.0000
2,1.29e-04,3.2655,0.0511,3.0612,0.0855,0.0971
3,1.91e-04,3.2191,0.0630,3.0434,0.1046,0.0971
4,2.52e-04,3.1649,0.0768,2.9664,0.1161,0.1046
5,3.14e-04,3.1187,0.0885,2.9091,0.1431,0.1161
6,3.76e-04,3.0705,0.1034,2.8772,0.1486,0.1431
7,4.38e-04,3.0458,0.1094,2.8694,0.1661,0.1486
8,5.00e-04,3.0134,0.1192,2.7819,0.1926,0.1661
9,5.00e-04,3.0360,0.1144,2.7915,0.1855,0.1926
10,4.99e-04,3.0095,0.1219,2.9671,0.1273,0.1926
11,4.99e-04,3.0849,0.0799,2.8309,0.1695,0.1926
12,4.98e-04,3.0617,0.0830,2.7104,0.2040,0.1926
13,4.96e-04,3.0289,0.0905,2.7455,0.2108,0.2040
14,4.95e-04,3.0344,0.0867,2.6955,0.2181,0.2108
15,4.93e-04,3.0199,0.0919,2.7246,0.2085,0.2181
16,4.91e-04,2.9973,0.0947,2.6203,0.2315,0.2181
17,4.88e-04,2.9879,0.0989,2.5958,0.2409,0.2315
18,4.86e-04,2.9708,0.1034,2.5898,0.2426,0.2409
19,4.83e-04,2.9602,0.1038,2.5683,0.2558,0.2426
20,4.79e-04,2.9300,0.1061,2.5300,0.2696,0.2558
21,4.76e-04,2.9151,0.1095,2.5219,0.2574,0.2696
22,4.72e-04,2.9277,0.1072,2.5180,0.2671,0.2696
23,4.68e-04,2.9020,0.1124,2.4763,0.2699,0.2696
24,4.64e-04,2.8881,0.1130,2.4428,0.2781,0.2699
25,4.59e-04,2.8703,0.1206,2.4171,0.2881,0.2781
26,4.54e-04,2.8528,0.1256,2.4276,0.2899,0.2881
27,4.49e-04,2.8277,0.1260,2.4156,0.2861,0.2899
28,4.44e-04,2.8104,0.1324,2.3808,0.2947,0.2899
29,4.38e-04,2.8021,0.1307,2.3285,0.3165,0.2947
30,4.33e-04,2.7790,0.1361,2.2839,0.3197,0.3165
31,4.27e-04,2.7601,0.1391,2.2708,0.3303,0.3197
32,4.21e-04,2.7308,0.1416,2.2183,0.3433,0.3303
33,4.14e-04,2.7111,0.1525,2.2249,0.3389,0.3433
34,4.08e-04,2.6999,0.1543,2.1858,0.3474,0.3433
35,4.01e-04,2.6772,0.1534,2.1623,0.3623,0.3474
36,3.94e-04,2.6466,0.1576,2.1760,0.3524,0.3623
37,3.87e-04,2.6373,0.1617,2.1480,0.3585,0.3623
38,3.80e-04,2.6168,0.1695,2.1111,0.3728,0.3623
39,3.73e-04,2.5920,0.1736,2.1013,0.3774,0.3728
40,3.65e-04,2.5618,0.1720,2.0901,0.3788,0.3774
41,3.57e-04,2.5389,0.1803,2.0230,0.3964,0.3788
42,3.50e-04,2.5141,0.1753,2.0106,0.3965,0.3964
43,3.42e-04,2.5055,0.1784,1.9638,0.4072,0.3965
44,3.34e-04,2.4722,0.1946,1.9611,0.4180,0.4072
45,3.26e-04,2.4651,0.1918,1.9827,0.4054,0.4180
46,3.17e-04,2.4570,0.1964,1.9557,0.4164,0.4180
47,3.09e-04,2.4418,0.2054,1.9127,0.4254,0.4180
