epoch,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc
1,6.69e-05,3.4978,0.0500,3.3408,0.0962,0.0000
2,1.29e-04,3.4822,0.0518,3.3041,0.0906,0.0962
3,1.91e-04,3.4423,0.0621,3.2859,0.0993,0.0962
4,2.52e-04,3.3941,0.0756,3.2212,0.1258,0.0993
5,3.14e-04,3.3521,0.0917,3.1627,0.1535,0.1258
6,3.76e-04,3.3113,0.1040,3.1184,0.1617,0.1535
7,4.38e-04,3.2961,0.1118,3.1818,0.1625,0.1617
8,5.00e-04,3.2791,0.1165,3.1422,0.1660,0.1625
9,5.00e-04,3.2936,0.1126,3.1092,0.1745,0.1660
10,4.98e-04,3.2618,0.1243,3.0927,0.1758,0.1745
11,4.96e-04,3.3106,0.0840,3.0762,0.1927,0.1758
12,4.93e-04,3.3112,0.0825,3.1263,0.1801,0.1927
13,4.89e-04,3.3140,0.0820,3.0463,0.1986,0.1927
14,4.84e-04,3.2883,0.0863,3.0320,0.2088,0.1986
15,4.78e-04,3.2771,0.0912,2.9752,0.2239,0.2088
16,4.71e-04,3.2732,0.0892,2.9840,0.2207,0.2239
17,4.64e-04,3.2760,0.0909,2.9882,0.2151,0.2239
18,4.56e-04,3.2436,0.1002,2.8959,0.2467,0.2239
19,4.47e-04,3.2171,0.1065,2.8855,0.2525,0.2467
20,4.37e-04,3.2095,0.1034,2.8989,0.2495,0.2525
21,4.27e-04,3.1954,0.1085,2.8627,0.2609,0.2525
22,4.16e-04,3.1833,0.1063,2.7778,0.2858,0.2609
23,4.04e-04,3.1601,0.1159,2.7985,0.2748,0.2858
24,3.92e-04,3.1423,0.1215,2.7376,0.2970,0.2858
25,3.79e-04,3.1211,0.1276,2.7444,0.2913,0.2970
26,3.66e-04,3.1141,0.1299,2.6954,0.3051,0.2970
27,3.53e-04,3.0850,0.1341,2.7044,0.3088,0.3051
28,3.39e-04,3.0721,0.1365,2.6553,0.3218,0.3088
29,3.24e-04,3.0504,0.1388,2.6487,0.3304,0.3218
30,3.10e-04,3.0334,0.1424,2.5854,0.3421,0.3304
31,2.95e-04,3.0184,0.1486,2.6019,0.3427,0.3421
32,2.80e-04,2.9952,0.1496,2.5405,0.3577,0.3427
33,2.65e-04,2.9789,0.1594,2.5514,0.3562,0.3577
34,2.50e-04,2.9707,0.1622,2.5173,0.3715,0.3577
35,2.35e-04,2.9481,0.1594,2.5019,0.3716,0.3715
36,2.20e-04,2.9249,0.1651,2.4870,0.3763,0.3716
37,2.05e-04,2.9117,0.1715,2.4615,0.3779,0.3763
38,1.90e-04,2.8952,0.1777,2.4251,0.3967,0.3779
39,1.76e-04,2.8736,0.1805,2.4198,0.3936,0.3967
40,1.61e-04,2.8486,0.1788,2.4063,0.3990,0.3967
41,1.47e-04,2.8302,0.1876,2.3700,0.4143,0.3990
42,1.34e-04,2.8128,0.1831,2.3679,0.4075,0.4143
43,1.21e-04,2.8063,0.1827,2.3413,0.4172,0.4143
44,1.08e-04,2.7778,0.2021,2.3323,0.4226,0.4172
45,9.58e-05,2.7740,0.1955,2.3307,0.4233,0.4226
46,8.42e-05,2.7720,0.1991,2.3188,0.4262,0.4233
47,7.32e-05,2.7579,0.2069,2.2961,0.4357,0.4262
48,6.29e-05,2.7273,0.2125,2.2888,0.4372,0.4357
49,5.32e-05,2.7127,0.2076,2.2778,0.4346,0.4372
50,4.43e-05,2.7019,0.2131,2.2653,0.4397,0.4372
51,3.61e-05,2.6925,0.2169,2.2505,0.4507,0.4397
52,2.86e-05,2.7090,0.2186,2.2460,0.4470,0.4507
53,2.20e-05,2.6751,0.2122,2.2410,0.4534,0.4507
54,1.62e-05,2.6927,0.2195,2.2369,0.4528,0.4534
55,1.13e-05,2.6626,0.2249,2.2334,0.4529,0.4534
56,7.26e-06,2.6681,0.2251,2.2319,0.4534,0.4534
57,4.10e-06,2.6685,0.2209,2.2318,0.4556,0.4534
58,1.82e-06,2.6645,0.2211,2.2252,0.4552,0.4556
59,4.56e-07,2.6792,0.2186,2.2229,0.4578,0.4556
60,0.00e+00,2.6709,0.2196,2.2234,0.4571,0.4578
