epoch,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc
1,6.69e-05,3.5003,0.0484,3.3419,0.0930,0.0000
2,1.29e-04,3.4836,0.0506,3.3098,0.0868,0.0930
3,1.91e-04,3.4419,0.0624,3.2911,0.1030,0.0930
4,2.52e-04,3.3933,0.0774,3.2346,0.1271,0.1030
5,3.14e-04,3.3512,0.0905,3.1940,0.1315,0.1271
6,3.76e-04,3.3160,0.1035,3.1417,0.1619,0.1315
7,4.38e-04,3.3127,0.1046,3.1417,0.1726,0.1619
8,5.00e-04,3.2858,0.1154,3.1178,0.1666,0.1726
9,5.00e-04,3.2957,0.1097,3.1022,0.1705,0.1726
10,4.99e-04,3.2624,0.1224,3.0598,0.1937,0.1726
11,4.99e-04,3.3031,0.0846,3.0871,0.1900,0.1937
12,4.98e-04,3.2998,0.0855,3.0468,0.1818,0.1937
13,4.96e-04,3.3211,0.0816,3.1381,0.1602,0.1937
14,4.95e-04,3.2967,0.0878,3.0256,0.2060,0.1937
15,4.93e-04,3.2639,0.0953,3.0124,0.2021,0.2060
16,4.91e-04,3.2472,0.0951,2.9457,0.2346,0.2060
17,4.88e-04,3.2479,0.0971,2.8985,0.2520,0.2346
18,4.86e-04,3.2096,0.1083,2.8858,0.2420,0.2520
19,4.83e-04,3.1883,0.1139,2.8358,0.2650,0.2520
20,4.79e-04,3.1770,0.1131,2.8293,0.2783,0.2650
21,4.76e-04,3.1480,0.1181,2.8156,0.2714,0.2783
22,4.72e-04,3.1549,0.1146,2.7451,0.3005,0.2783
23,4.68e-04,3.1252,0.1216,2.7279,0.2981,0.3005
24,4.64e-04,3.1159,0.1240,2.7081,0.2983,0.3005
25,4.59e-04,3.0995,0.1341,2.6945,0.3073,0.3005
26,4.54e-04,3.0899,0.1370,2.7067,0.3066,0.3073
27,4.49e-04,3.0610,0.1374,2.6615,0.3265,0.3073
28,4.44e-04,3.0451,0.1430,2.6396,0.3295,0.3265
29,4.38e-04,3.0293,0.1449,2.6050,0.3389,0.3295
30,4.33e-04,3.0158,0.1457,2.5599,0.3508,0.3389
31,4.27e-04,2.9952,0.1537,2.5756,0.3520,0.3508
32,4.21e-04,2.9751,0.1533,2.5278,0.3623,0.3520
33,4.14e-04,2.9550,0.1647,2.5099,0.3697,0.3623
34,4.08e-04,2.9485,0.1677,2.4957,0.3720,0.3697
35,4.01e-04,2.9326,0.1641,2.4771,0.3845,0.3720
36,3.94e-04,2.9070,0.1706,2.4877,0.3748,0.3845
37,3.87e-04,2.8989,0.1731,2.4652,0.3824,0.3845
38,3.80e-04,2.8805,0.1812,2.4012,0.4065,0.3845
39,3.73e-04,2.8591,0.1856,2.4007,0.3998,0.4065
40,3.65e-04,2.8350,0.1826,2.4027,0.4028,0.4065
41,3.57e-04,2.8156,0.1902,2.3542,0.4136,0.4065
42,3.50e-04,2.7981,0.1860,2.3645,0.4077,0.4136
43,3.42e-04,2.7902,0.1841,2.3379,0.4172,0.4136
44,3.34e-04,2.7628,0.2059,2.3143,0.4273,0.4172
45,3.26e-04,2.7527,0.2001,2.3239,0.4278,0.4273
46,3.17e-04,2.7489,0.2046,2.3050,0.4283,0.4278
47,3.09e-04,2.7333,0.2135,2.2749,0.4328,0.4283
48,3.01e-04,2.6959,0.2193,2.2822,0.4365,0.4328
49,2.92e-04,2.6776,0.2202,2.2591,0.4395,0.4365
50,2.84e-04,2.6623,0.2226,2.2358,0.4515,0.4395
51,2.76e-04,2.6469,0.2295,2.2208,0.4534,0.4515
52,2.67e-04,2.6544,0.2303,2.2342,0.4519,0.4534
53,2.59e-04,2.6125,0.2258,2.1882,0.4679,0.4534
54,2.50e-04,2.6294,0.2367,2.2150,0.4534,0.4679
55,2.41e-04,2.5794,0.2439,2.1875,0.4642,0.4679
56,2.33e-04,2.5723,0.2469,2.1694,0.4706,0.4679
57,2.24e-04,2.5615,0.2468,2.1533,0.4789,0.4706
58,2.16e-04,2.5410,0.2498,2.1739,0.4742,0.4789
59,2.08e-04,2.5446,0.2482,2.1626,0.4771,0.4789
60,1.99e-04,2.5220,0.2528,2.1435,0.4812,0.4789
61,1.91e-04,2.4994,0.2544,2.1496,0.4783,0.4812
62,1.83e-04,2.4904,0.2714,2.1161,0.4879,0.4812
63,1.74e-04,2.4531,0.2611,2.1051,0.4919,0.4879
64,1.66e-04,2.4399,0.2690,2.1019,0.4982,0.4919
65,1.58e-04,2.4211,0.2807,2.1098,0.4903,0.4982
66,1.50e-04,2.4207,0.2760,2.1084,0.4938,0.4982
67,1.43e-04,2.4118,0.2780,2.0771,0.4979,0.4982
68,1.35e-04,2.4057,0.2807,2.1024,0.4952,0.4982
69,1.27e-04,2.3771,0.2922,2.0784,0.4978,0.4982
70,1.20e-04,2.3475,0.2805,2.0920,0.5006,0.4982
71,1.13e-04,2.3421,0.3043,2.0729,0.5049,0.5006
72,1.06e-04,2.3271,0.2957,2.0792,0.5063,0.5049
73,9.89e-05,2.3227,0.3030,2.0758,0.5054,0.5063
74,9.22e-05,2.3013,0.3026,2.0403,0.5154,0.5063
75,8.57e-05,2.2913,0.2993,2.0768,0.5107,0.5154
76,7.94e-05,2.2732,0.3129,2.0508,0.5176,0.5154
77,7.32e-05,2.2514,0.3025,2.0463,0.5172,0.5176
78,6.73e-05,2.2471,0.3332,2.0525,0.5158,0.5176
79,6.16e-05,2.1956,0.3293,2.0529,0.5123,0.5176
80,5.61e-05,2.2050,0.3224,2.0532,0.5183,0.5176
81,5.08e-05,2.2157,0.3160,2.0573,0.5192,0.5183
82,4.58e-05,2.2281,0.3322,2.0565,0.5208,0.5192
83,4.10e-05,2.2150,0.3133,2.0529,0.5231,0.5208
84,3.64e-05,2.1854,0.3409,2.0515,0.5233,0.5231
85,3.21e-05,2.1996,0.3296,2.0224,0.5233,0.5233
86,2.80e-05,2.1825,0.3267,2.0472,0.5238,0.5233
87,2.42e-05,2.1823,0.3418,2.0312,0.5247,0.5238
88,2.07e-05,2.1613,0.3331,2.0276,0.5259,0.5247
89,1.74e-05,2.1685,0.3297,2.0237,0.5307,0.5259
90,1.44e-05,2.1496,0.3454,2.0269,0.5277,0.5307
91,1.17e-05,2.1291,0.3445,2.0251,0.5303,0.5307
92,9.27e-06,2.1436,0.3456,2.0223,0.5285,0.5307
93,7.11e-06,2.1374,0.3363,2.0270,0.5296,0.5307
94,5.23e-06,2.1195,0.3348,2.0139,0.5283,0.5307
95,3.64e-06,2.1118,0.3578,2.0144,0.5302,0.5307
96,2.33e-06,2.1289,0.3218,2.0083,0.5304,0.5307
97,1.31e-06,2.1462,0.3504,2.0190,0.5337,0.5307
98,5.83e-07,2.1570,0.3409,2.0190,0.5294,0.5337
99,1.46e-07,2.1214,0.3410,2.0193,0.5309,0.5337
100,0.00e+00,2.0892,0.3518,2.0295,0.5319,0.5337
