epoch,val_fold,lr,train_loss,train_acc,val_loss,val_acc,rolling_avg,best_rolling_avg
1,0,7.40e-05,3.2800,0.0487,3.0939,0.0803,0.0803,0.0000
2,1,1.40e-04,3.2567,0.0530,3.0725,0.0942,0.0872,0.0000
3,2,2.06e-04,3.2080,0.0665,3.0066,0.1078,0.0941,0.0000
4,3,2.72e-04,3.1445,0.0827,2.9583,0.1310,0.1033,0.0000
5,4,3.38e-04,3.0968,0.0930,2.8924,0.1496,0.1126,0.0000
6,0,4.04e-04,3.0653,0.1037,2.8712,0.1618,0.1289,0.1126
7,1,4.70e-04,3.0684,0.1013,2.9561,0.1271,0.1355,0.1289
8,2,5.36e-04,3.0686,0.1065,2.8724,0.1519,0.1443,0.1355
9,3,6.02e-04,3.0855,0.0986,2.8972,0.1510,0.1483,0.1443
10,4,6.68e-04,3.0552,0.1089,2.8848,0.1483,0.1480,0.1483
11,0,7.34e-04,3.1154,0.0736,2.8758,0.1594,0.1475,0.1483
12,1,8.00e-04,3.1254,0.0735,2.9144,0.1527,0.1526,0.1483
13,2,7.97e-04,3.1228,0.0721,2.9363,0.1422,0.1507,0.1526
14,3,7.87e-04,3.1362,0.0696,2.9048,0.1626,0.1530,0.1526
15,4,7.72e-04,3.1109,0.0740,2.8909,0.1539,0.1542,0.1530
16,0,7.51e-04,3.1223,0.0699,3.0135,0.1243,0.1471,0.1542
17,1,7.24e-04,3.1135,0.0725,2.8522,0.1704,0.1507,0.1542
18,2,6.92e-04,3.0878,0.0790,2.7981,0.1864,0.1595,0.1542
19,3,6.55e-04,3.0759,0.0825,2.7522,0.1861,0.1642,0.1595
20,4,6.14e-04,3.0470,0.0845,2.7608,0.1956,0.1726,0.1642
21,0,5.70e-04,3.0444,0.0851,2.7351,0.1953,0.1868,0.1726
22,1,5.24e-04,3.0213,0.0903,2.6834,0.2106,0.1948,0.1868
23,2,4.75e-04,3.0020,0.0917,2.6375,0.2337,0.2043,0.1948
24,3,4.25e-04,2.9733,0.0985,2.5791,0.2451,0.2161,0.2043
25,4,3.75e-04,2.9634,0.1032,2.5537,0.2515,0.2272,0.2161
26,0,3.25e-04,2.9368,0.1081,2.5160,0.2716,0.2425,0.2272
27,1,2.76e-04,2.9032,0.1139,2.4822,0.2687,0.2541,0.2425
28,2,2.30e-04,2.8891,0.1134,2.4290,0.2906,0.2655,0.2541
29,3,1.86e-04,2.8901,0.1129,2.4015,0.2841,0.2733,0.2655
30,4,1.45e-04,2.8562,0.1211,2.3822,0.3036,0.2837,0.2733
31,0,1.08e-04,2.8356,0.1276,2.3457,0.3116,0.2917,0.2837
32,1,7.64e-05,2.8210,0.1282,2.3156,0.3156,0.3011,0.2917
33,2,4.95e-05,2.8125,0.1325,2.2591,0.3347,0.3099,0.3011
34,3,2.81e-05,2.7961,0.1369,2.2637,0.3232,0.3177,0.3099
35,4,1.26e-05,2.7946,0.1351,2.2624,0.3326,0.3235,0.3177
36,0,3.15e-06,2.7989,0.1324,2.2535,0.3367,0.3286,0.3235
37,1,8.00e-04,2.7837,0.1369,2.2599,0.3348,0.3324,0.3286
38,2,7.97e-04,2.9092,0.1169,2.4883,0.2689,0.3193,0.3324
39,3,7.87e-04,2.9083,0.1136,2.4491,0.2769,0.3100,0.3324
40,4,7.72e-04,2.9098,0.1107,2.5102,0.2690,0.2973,0.3324
41,0,7.51e-04,2.8934,0.1166,2.4249,0.2865,0.2872,0.3324
42,1,7.24e-04,2.8660,0.1182,2.4191,0.2882,0.2779,0.3324
43,2,6.92e-04,2.8505,0.1165,2.3604,0.3006,0.2842,0.3324
44,3,6.55e-04,2.8348,0.1297,2.3069,0.3198,0.2928,0.3324
45,4,6.14e-04,2.8097,0.1323,2.2890,0.3232,0.3037,0.3324
46,0,5.70e-04,2.7853,0.1401,2.2699,0.3318,0.3127,0.3324
47,1,5.24e-04,2.7407,0.1433,2.2747,0.3243,0.3199,0.3324
48,2,4.75e-04,2.7199,0.1472,2.1457,0.3592,0.3317,0.3324
49,3,4.25e-04,2.7114,0.1469,2.0941,0.3792,0.3435,0.3324
50,4,3.75e-04,2.6743,0.1562,2.0663,0.3910,0.3571,0.3435
51,0,3.25e-04,2.6415,0.1664,2.0598,0.3896,0.3687,0.3571
52,1,2.76e-04,2.6248,0.1662,1.9880,0.4089,0.3856,0.3687
