epoch,val_fold,lr,train_loss,train_acc,val_loss,val_acc,rolling_avg,best_rolling_avg
1,0,3.04e-05,3.4766,0.0447,3.3900,0.0658,0.0658,0.0000
2,1,5.68e-05,3.4694,0.0451,3.3810,0.0787,0.0722,0.0000
3,2,8.32e-05,3.4502,0.0519,3.3694,0.0781,0.0742,0.0000
4,3,1.10e-04,3.4391,0.0548,3.3594,0.0840,0.0766,0.0000
5,4,1.36e-04,3.4315,0.0574,3.3497,0.0879,0.0789,0.0000
6,0,1.62e-04,3.4268,0.0593,3.3478,0.0853,0.0828,0.0789
7,1,1.89e-04,3.4215,0.0608,3.3377,0.0901,0.0851,0.0828
8,2,2.15e-04,3.4196,0.0632,3.3417,0.0948,0.0884,0.0851
9,3,2.42e-04,3.4184,0.0656,3.3499,0.0919,0.0900,0.0884
10,4,2.68e-04,3.4187,0.0646,3.3545,0.0879,0.0900,0.0900
11,0,2.94e-04,3.4162,0.0642,3.3496,0.0880,0.0905,0.0900
12,1,3.21e-04,3.4167,0.0643,3.3541,0.0807,0.0887,0.0905
13,2,3.47e-04,3.4219,0.0630,3.3576,0.0891,0.0875,0.0905
14,3,3.74e-04,3.4223,0.0632,3.3516,0.0883,0.0868,0.0905
15,4,4.00e-04,3.4264,0.0610,3.3637,0.0832,0.0859,0.0905
16,0,3.98e-04,3.4390,0.0518,3.3545,0.0878,0.0858,0.0905
17,1,3.94e-04,3.4366,0.0535,3.3621,0.0797,0.0856,0.0905
18,2,3.86e-04,3.4363,0.0530,3.3681,0.0891,0.0856,0.0905
19,3,3.75e-04,3.4375,0.0523,3.3468,0.0891,0.0858,0.0905
20,4,3.62e-04,3.4387,0.0517,3.3578,0.0888,0.0869,0.0905
21,0,3.46e-04,3.4379,0.0542,3.3607,0.0872,0.0868,0.0905
22,1,3.27e-04,3.4369,0.0516,3.3696,0.0770,0.0862,0.0905
23,2,3.07e-04,3.4352,0.0512,3.3575,0.0880,0.0860,0.0905
24,3,2.85e-04,3.4356,0.0524,3.3542,0.0848,0.0851,0.0905
25,4,2.62e-04,3.4341,0.0517,3.3450,0.0922,0.0858,0.0905
26,0,2.37e-04,3.4306,0.0535,3.3475,0.0863,0.0857,0.0905
27,1,2.13e-04,3.4325,0.0534,3.3386,0.0881,0.0879,0.0905
28,2,1.87e-04,3.4292,0.0554,3.3470,0.0918,0.0886,0.0905
29,3,1.63e-04,3.4287,0.0558,3.3262,0.0971,0.0911,0.0905
30,4,1.38e-04,3.4287,0.0544,3.3320,0.0974,0.0921,0.0911
31,0,1.15e-04,3.4213,0.0573,3.3225,0.0948,0.0939,0.0921
32,1,9.28e-05,3.4204,0.0597,3.3190,0.1021,0.0967,0.0939
33,2,7.25e-05,3.4189,0.0579,3.3051,0.1060,0.0995,0.0967
34,3,5.42e-05,3.4157,0.0623,3.3091,0.1087,0.1018,0.0995
35,4,3.82e-05,3.4158,0.0614,3.3090,0.0981,0.1019,0.1018
36,0,2.47e-05,3.4135,0.0610,3.3016,0.1111,0.1052,0.1019
37,1,1.40e-05,3.4154,0.0633,3.2961,0.1064,0.1061,0.1052
38,2,6.28e-06,3.4141,0.0604,3.2936,0.1131,0.1075,0.1061
39,3,1.58e-06,3.4105,0.0627,3.2912,0.1110,0.1080,0.1075
40,4,4.00e-04,3.4097,0.0627,3.2944,0.1114,0.1106,0.1080
41,0,3.98e-04,3.4259,0.0564,3.3198,0.0968,0.1078,0.1106
42,1,3.94e-04,3.4282,0.0546,3.3371,0.0958,0.1056,0.1106
43,2,3.86e-04,3.4284,0.0547,3.3447,0.0836,0.0997,0.1106
44,3,3.75e-04,3.4299,0.0539,3.3299,0.0936,0.0962,0.1106
45,4,3.62e-04,3.4311,0.0546,3.3316,0.0981,0.0936,0.1106
46,0,3.46e-04,3.4288,0.0552,3.3467,0.0905,0.0923,0.1106
47,1,3.27e-04,3.4254,0.0560,3.3280,0.0996,0.0931,0.1106
48,2,3.07e-04,3.4219,0.0563,3.3266,0.0971,0.0958,0.1106
49,3,2.85e-04,3.4220,0.0600,3.3361,0.0950,0.0961,0.1106
50,4,2.62e-04,3.4228,0.0590,3.3220,0.0954,0.0955,0.1106
51,0,2.37e-04,3.4187,0.0553,3.3133,0.1001,0.0974,0.1106
52,1,2.13e-04,3.4205,0.0572,3.3069,0.0939,0.0963,0.1106
53,2,1.87e-04,3.4185,0.0616,3.2998,0.1059,0.0981,0.1106
54,3,1.63e-04,3.4150,0.0585,3.2990,0.1084,0.1008,0.1106
55,4,1.38e-04,3.4136,0.0617,3.2923,0.1142,0.1045,0.1106
56,0,1.15e-04,3.4112,0.0625,3.2877,0.1067,0.1058,0.1106
57,1,9.28e-05,3.4081,0.0651,3.2766,0.1193,0.1109,0.1106
58,2,7.25e-05,3.4037,0.0657,3.2679,0.1255,0.1148,0.1109
59,3,5.42e-05,3.4020,0.0671,3.2701,0.1143,0.1160,0.1148
60,4,3.82e-05,3.3985,0.0659,3.2632,0.1231,0.1178,0.1160
61,0,2.47e-05,3.3961,0.0685,3.2590,0.1200,0.1204,0.1178
62,1,1.40e-05,3.3996,0.0641,3.2559,0.1172,0.1200,0.1204
63,2,6.28e-06,3.3948,0.0671,3.2433,0.1326,0.1214,0.1204
64,3,1.58e-06,3.3922,0.0691,3.2519,0.1206,0.1227,0.1214
